aX,aY,aZ,gX,gY,gZ
-0.027,-1.444,0.961,67.566,110.046,40.894
0.017,-1.422,0.936,67.200,109.863,51.697
0.043,-1.444,1.028,69.092,106.689,60.974
0.052,-1.454,1.064,67.139,108.337,69.580
0.066,-1.474,1.061,61.523,113.586,76.843
0.092,-1.491,1.016,54.871,119.873,84.717
0.107,-1.435,0.971,46.875,123.962,94.055
0.117,-1.373,0.935,40.588,127.319,101.440
0.106,-1.368,0.885,38.879,130.371,107.178
0.126,-1.359,0.810,32.104,132.324,114.136
0.157,-1.334,0.775,29.053,136.169,118.164
0.177,-1.335,0.690,36.255,141.052,118.225
0.163,-1.362,0.621,33.630,141.418,118.652
0.154,-1.349,0.601,30.273,135.681,120.239
0.060,-1.467,0.585,33.020,129.761,122.498
0.176,-1.409,0.541,39.856,125.793,127.869
0.250,-1.294,0.536,49.988,122.253,130.615
0.158,-1.297,0.498,64.453,117.188,130.920
0.159,-1.303,0.397,67.200,112.610,132.996
0.200,-1.379,0.374,78.064,105.469,137.451
0.187,-1.384,0.296,86.975,101.074,143.555
0.265,-1.333,0.279,84.106,99.121,149.780
0.263,-1.254,0.298,86.792,91.919,155.273
0.207,-1.312,0.316,101.624,84.229,154.419
0.248,-1.347,0.308,105.713,84.229,155.701
0.270,-1.417,0.353,118.164,84.534,155.579
0.336,-1.607,-0.007,115.906,86.060,157.593
0.258,-1.484,-0.095,78.430,104.004,167.786
0.313,-1.310,-0.112,121.338,76.782,171.997
0.458,-1.051,-0.177,218.445,23.743,166.260
0.576,-1.058,-0.016,219.971,-8.911,160.400
0.574,-0.972,0.061,170.593,-9.033,166.809
0.416,-1.043,0.041,130.798,-0.244,173.950
0.426,-1.281,-0.009,93.872,14.648,170.288
0.442,-1.284,-0.120,53.345,36.926,172.974
0.564,-1.287,-0.270,71.228,52.002,164.795
0.632,-1.121,-0.451,111.328,49.377,156.433
0.770,-0.965,-0.565,115.845,38.208,152.405
0.770,-0.699,-0.568,86.792,23.560,152.527
0.609,-0.640,-0.540,63.171,9.216,146.729
0.537,-0.990,-0.709,70.068,1.648,131.470
0.518,-0.958,-0.858,62.012,-0.854,138.855
0.241,-0.823,-0.839,17.761,-12.451,158.142
-0.196,-0.984,-0.968,7.751,-25.635,159.363
0.037,-1.054,-1.014,13.489,-33.569,143.127
0.231,-1.291,-1.217,73.181,-33.569,122.620
0.304,-1.100,-0.952,58.838,-75.928,127.991
0.111,-0.901,-0.714,-24.231,-114.990,148.437
0.239,-0.636,-0.547,-56.213,-109.131,158.813
0.389,-0.614,-0.469,-73.486,-111.389,157.410
0.185,-0.716,-0.508,-69.641,-119.019,154.541
0.098,-0.553,-0.530,-93.811,-104.126,160.034
0.171,-0.115,-0.448,-82.520,-105.835,162.048
0.082,-0.014,-0.397,-19.836,-121.704,150.574
0.065,-0.334,-0.395,36.743,-130.310,130.188
-0.033,-0.652,-0.501,86.243,-137.512,117.859
-0.056,-0.755,-0.383,52.795,-148.132,124.756
-0.045,-0.479,-0.306,-10.864,-149.475,142.029
-0.030,-0.104,-0.153,-55.237,-143.005,152.832
0.027,0.115,-0.054,-68.787,-137.939,147.522
0.064,0.184,-0.042,-27.405,-137.939,131.104
0.159,0.125,0.003,3.540,-139.465,115.784
0.143,0.109,0.108,1.709,-138.611,108.887
0.062,0.180,0.216,3.479,-136.230,105.469
-0.041,0.234,0.269,1.953,-127.625,103.088
-0.089,0.236,0.255,5.432,-115.173,98.633
-0.076,0.183,0.170,16.479,-101.135,95.581
-0.049,0.137,0.061,21.362,-92.407,96.802
-0.048,0.177,0.007,17.273,-89.600,101.135
-0.009,0.293,-0.006,7.935,-90.149,103.638
0.042,0.349,0.006,9.766,-92.590,99.731
0.024,0.265,-0.023,28.809,-95.093,90.027
-0.017,0.097,-0.095,47.485,-95.093,81.726
-0.069,-0.085,-0.234,58.899,-92.407,79.529
-0.148,-0.181,-0.388,59.570,-88.257,83.862
-0.214,-0.143,-0.532,45.410,-85.938,91.858
-0.309,-0.116,-0.652,35.950,-87.524,97.229
-0.396,-0.083,-0.713,37.537,-97.839,98.206
-0.397,0.077,-0.728,39.978,-117.310,97.168
-0.342,0.180,-0.707,37.964,-138.000,92.285
-0.330,0.094,-0.619,49.622,-161.011,82.031
-0.349,-0.089,-0.560,68.176,-182.617,71.350
-0.375,-0.237,-0.535,70.801,-190.979,69.031
-0.364,-0.394,-0.636,69.885,-189.026,73.792
-0.260,-0.504,-0.815,75.745,-182.861,82.581
-0.192,-0.440,-0.995,74.768,-178.223,94.910
-0.192,-0.066,-0.894,56.519,-200.745,106.018
-0.422,0.514,-0.394,19.104,-272.034,106.018
-0.814,1.106,0.425,-3.540,-372.375,93.384
-1.168,1.691,1.674,-26.062,-480.225,80.872
-1.758,1.839,3.679,30.334,-609.619,63.049
-2.449,1.570,4.000,87.219,-757.568,51.575
-1.567,2.631,4.000,36.682,-648.010,70.679
-1.590,2.067,4.000,85.266,9.399,22.156
-1.059,0.951,3.388,107.788,353.699,-44.373
-0.193,0.525,2.080,88.623,330.994,-47.058
0.367,-0.309,1.412,106.812,271.545,-59.265
0.805,-1.202,1.031,105.164,247.314,-70.313
1.170,-1.531,0.501,118.713,238.403,-47.180
1.324,-1.145,-0.051,49.133,241.089,1.648
1.369,-0.600,-0.477,-13.245,219.116,26.855
1.125,0.066,-0.638,-41.199,152.161,28.564
1.156,0.403,-0.404,-76.904,62.195,19.104
1.090,0.458,0.169,-61.157,-31.311,7.324
1.048,0.647,0.963,-68.420,-112.793,3.113
0.748,0.777,1.922,-116.760,-143.311,-9.583
0.337,0.711,2.790,-126.038,-127.258,-30.518
0.323,0.517,3.216,-48.950,-68.726,-41.992
0.401,0.527,2.793,-20.142,37.476,-37.292
0.677,0.695,1.869,-1.892,133.850,-31.494
0.563,0.702,1.040,17.456,173.096,-39.185
0.364,0.422,0.644,19.958,161.804,-55.725
0.334,0.182,0.473,17.578,127.380,-57.678
0.469,0.190,0.524,4.883,90.393,-45.532
0.668,0.259,0.657,-4.883,64.148,-38.147
0.623,0.195,0.791,7.629,49.438,-38.513
,,,,,
0.156,-1.349,1.357,62.988,64.758,16.724
0.257,-1.384,1.393,60.181,86.060,25.940
0.186,-1.361,1.421,51.086,109.741,38.025
0.294,-1.277,1.257,47.363,133.423,50.537
0.354,-1.282,1.166,52.185,148.682,54.260
0.172,-1.736,1.044,64.880,158.203,52.734
0.145,-0.955,1.137,72.266,159.912,65.796
0.131,-1.305,1.038,88.562,150.818,64.026
0.139,-1.654,1.008,94.177,145.874,59.021
0.312,-1.666,0.941,84.595,147.217,70.068
0.466,-1.518,0.790,90.271,149.109,80.566
0.458,-1.499,0.656,92.773,146.606,88.257
0.443,-1.703,0.662,84.778,138.306,94.055
0.355,-1.887,0.768,83.435,128.174,105.347
0.260,-1.730,0.819,68.237,123.291,123.535
0.187,-1.646,0.801,67.017,126.282,134.949
0.258,-1.581,0.743,79.834,130.981,140.259
0.152,-1.823,0.547,90.393,133.789,143.799
0.127,-2.083,0.437,99.792,147.705,149.048
0.163,-1.267,0.264,123.352,138.000,176.147
0.344,-0.880,0.120,136.841,89.233,180.359
0.439,-1.530,0.343,144.775,74.829,157.837
0.326,-1.707,0.559,84.534,76.660,158.447
0.223,-1.516,0.471,100.098,84.534,168.213
0.212,-1.333,0.235,87.097,99.304,171.387
0.303,-1.431,-0.134,80.750,104.553,169.128
0.293,-1.460,-0.215,89.722,89.905,171.387
0.263,-1.365,-0.271,101.929,68.970,177.917
0.328,-1.244,-0.150,119.629,49.438,180.725
0.425,-1.223,-0.034,143.799,37.415,178.955
0.464,-1.254,-0.146,135.437,34.668,179.199
0.458,-1.332,-0.318,121.704,30.334,179.565
0.417,-1.406,-0.337,126.831,17.944,178.467
0.432,-1.378,-0.330,119.995,8.972,182.556
0.383,-1.209,-0.321,106.445,2.197,192.749
0.458,-1.079,-0.311,111.389,-1.099,196.045
0.575,-0.905,-0.381,130.554,3.906,194.031
0.641,-0.677,-0.358,147.583,7.629,189.148
0.578,-0.623,-0.587,168.152,9.644,173.157
0.589,-0.532,-0.612,137.878,15.015,158.997
0.489,-0.544,-0.806,109.741,20.508,149.048
0.408,-0.610,-0.832,134.399,11.536,135.742
0.371,-0.790,-1.028,143.982,0.366,125.854
0.285,-0.955,-1.008,120.361,-17.395,129.272
0.165,-1.053,-1.047,87.402,-47.241,141.602
0.390,-0.848,-0.980,43.457,-73.425,145.264
0.712,-0.340,-0.952,48.279,-88.318,135.925
0.456,-0.386,-0.867,24.292,-110.596,122.437
0.255,-0.789,-0.750,-23.254,-112.610,105.286
0.097,-0.761,-0.728,-37.415,-126.526,108.887
0.007,-0.260,-0.692,-59.387,-146.729,120.422
-0.056,-0.539,-0.958,-62.378,-144.836,121.155
-0.164,-0.589,-0.936,-95.459,-142.639,131.470
-0.073,-0.266,-0.922,-129.211,-156.494,139.526
0.020,-0.012,-0.744,-107.971,-152.344,136.658
-0.241,-0.245,-0.769,-150.391,-155.579,126.709
-0.350,-0.176,-0.101,-41.443,-184.753,110.779
-0.137,-0.332,-0.224,65.430,-217.712,94.177
0.017,-0.602,0.022,56.885,-203.613,93.933
-0.056,-0.761,-0.022,37.415,-181.763,99.365
-0.213,-0.576,0.040,-24.109,-158.569,117.188
-0.197,-0.260,-0.118,-49.744,-127.319,130.798
-0.245,-0.191,-0.353,-56.946,-105.652,133.911
-0.289,-0.200,-0.631,-41.504,-94.788,130.432
-0.248,-0.026,-0.854,-15.320,-101.379,128.479
-0.257,0.081,-0.928,3.174,-123.962,126.526
-0.280,-0.036,-0.888,37.903,-159.973,119.324
-0.302,-0.210,-0.752,68.665,-195.312,113.342
-0.348,-0.349,-0.594,79.956,-223.694,114.136
-0.307,-0.318,-0.387,74.402,-241.516,119.751
-0.301,-0.175,-0.172,62.805,-250.427,124.756
-0.356,-0.229,-0.052,51.270,-248.413,125.793
-0.382,-0.345,-0.045,53.162,-236.633,125.122
-0.359,-0.366,-0.142,43.579,-220.154,129.822
-0.408,-0.480,-0.300,40.771,-206.543,135.986
-0.483,-0.644,-0.526,51.208,-199.036,143.494
-0.497,-0.496,-0.692,51.697,-203.064,157.349
-0.463,-0.040,-0.707,55.908,-221.863,168.884
-0.537,0.269,-0.577,80.933,-258.362,164.368
-0.617,0.396,-0.257,115.784,-315.552,147.583
-0.896,0.273,0.297,141.785,-390.015,127.136
-1.279,0.036,1.036,137.085,-467.407,110.352
-1.590,0.106,1.849,94.055,-523.499,101.746
-2.068,0.513,3.019,-38.696,-562.805,113.586
-2.158,2.251,4.000,-238.281,-583.557,155.273
-1.914,3.357,4.000,-252.136,-526.917,148.132
-1.503,2.727,4.000,-164.551,-310.242,68.665
-1.341,2.159,4.000,-38.574,31.311,4.028
-0.848,1.571,2.552,28.687,210.571,-16.296
-0.413,0.980,1.437,52.185,242.615,-19.592
0.058,0.667,0.766,51.453,234.070,-13.489
0.330,0.591,0.334,31.250,202.759,-10.193
0.314,0.531,0.099,18.188,158.386,-17.151
0.372,0.593,0.108,-3.967,97.534,-30.273
0.314,0.870,0.413,-11.841,20.874,-33.997
0.183,0.919,1.070,-23.132,-44.250,-49.011
0.078,0.751,1.956,-28.931,-87.036,-66.711
0.061,0.775,2.651,-63.965,-79.712,-68.970
0.048,0.875,2.930,-41.809,-17.639,-65.857
0.022,0.624,2.577,19.592,73.853,-71.899
0.001,0.525,1.921,68.665,150.818,-70.740
0.001,0.557,1.312,81.299,187.439,-64.636
0.051,0.453,0.998,75.134,179.810,-64.148
0.110,0.364,0.950,63.660,149.841,-63.049
0.142,0.456,1.163,41.626,120.972,-60.364
0.181,0.607,1.429,25.818,109.619,-60.791
0.207,0.516,1.527,28.931,120.789,-68.237
0.229,0.334,1.344,41.931,150.085,-75.317
0.242,0.260,0.992,48.279,180.725,-78.064
0.274,0.215,0.655,42.236,202.271,-79.834
0.322,0.080,0.380,32.898,210.510,-81.421
0.365,0.079,0.164,26.001,207.642,-78.918
0.407,0.173,0.047,16.357,195.740,-75.684
0.428,0.106,-0.049,12.512,178.894,-80.261
0.436,-0.058,-0.093,16.602,160.278,-85.815
0.455,-0.105,-0.101,12.024,142.944,-85.510
0.469,-0.031,-0.056,4.150,126.770,-82.825
0.492,-0.038,-0.024,3.479,113.098,-83.191
0.544,-0.125,-0.006,7.690,103.210,-84.717
,,,,,
0.441,-1.035,-0.989,-38.208,-4.333,135.559
0.393,-0.896,-0.902,-13.062,-26.855,139.465
0.314,-1.046,-0.868,-12.573,-66.284,130.127
0.279,-0.874,-0.793,-21.240,-76.965,133.118
0.424,-0.734,-0.691,-6.775,-97.046,131.592
0.476,-0.633,-0.529,-6.836,-113.037,128.418
0.535,-0.765,-0.488,28.015,-116.089,116.638
0.518,-0.821,-0.489,28.870,-117.798,117.554
0.388,-0.840,-0.428,-3.540,-117.126,131.897
0.409,-0.567,-0.471,-19.897,-109.009,143.921
0.370,-0.404,-0.545,-15.076,-98.083,143.250
0.407,-0.437,-0.694,6.104,-93.933,129.883
0.445,-0.651,-0.751,29.053,-99.670,115.479
0.418,-0.773,-0.766,40.405,-118.591,112.549
0.325,-0.675,-0.621,27.344,-137.756,120.422
0.282,-0.567,-0.490,14.282,-147.156,123.840
0.268,-0.479,-0.352,11.475,-148.682,121.277
0.318,-0.389,-0.290,2.502,-141.296,116.272
0.362,-0.332,-0.232,2.197,-132.324,109.314
0.348,-0.345,-0.251,12.939,-125.488,103.577
0.354,-0.349,-0.252,26.245,-121.887,101.318
0.327,-0.401,-0.296,35.034,-121.704,100.830
0.324,-0.418,-0.312,34.851,-122.253,101.501
0.319,-0.354,-0.325,25.879,-123.413,103.271
0.304,-0.260,-0.279,15.503,-126.892,102.844
0.269,-0.213,-0.229,14.465,-131.042,98.877
0.231,-0.216,-0.161,17.761,-132.996,93.384
0.195,-0.184,-0.114,16.602,-131.287,90.332
0.212,-0.087,-0.110,8.606,-127.747,89.722
0.214,0.013,-0.110,9.399,-123.474,87.708
0.212,0.029,-0.159,21.057,-122.437,83.923
0.194,-0.039,-0.224,34.302,-125.000,79.102
0.159,-0.145,-0.308,44.250,-130.066,75.256
0.093,-0.241,-0.366,44.067,-138.245,74.280
0.071,-0.228,-0.386,36.255,-148.132,76.538
0.081,-0.132,-0.343,21.301,-158.752,79.590
0.036,-0.197,-0.321,17.944,-166.199,79.590
0.017,-0.262,-0.294,21.545,-169.678,80.200
0.097,-0.048,-0.259,8.545,-173.828,85.388
0.133,0.136,-0.216,3.906,-179.932,86.365
0.088,0.060,-0.175,17.090,-187.012,77.881
0.049,0.034,-0.105,20.386,-196.838,70.862
0.012,0.055,-0.002,18.188,-204.102,67.566
-0.020,0.019,0.091,21.057,-207.642,64.819
-0.010,0.043,0.180,20.569,-209.106,64.880
0.008,0.098,0.235,15.930,-206.726,67.200
-0.005,0.038,0.240,23.499,-200.195,67.200
0.000,-0.047,0.217,27.649,-192.749,67.932
0.030,0.029,0.155,21.057,-189.880,72.693
0.046,0.035,0.150,21.729,-190.186,74.219
-0.085,-0.120,0.131,26.733,-194.458,72.937
0.051,-0.226,0.044,23.926,-195.496,79.895
0.050,0.046,0.066,13.123,-200.439,94.543
-0.024,0.103,0.115,16.541,-210.327,95.703
-0.049,-0.111,0.189,30.579,-218.994,88.013
-0.062,-0.049,0.302,24.231,-232.666,87.769
-0.276,0.157,0.559,6.714,-259.155,88.867
-0.501,0.280,0.958,-0.122,-294.067,82.336
-0.832,0.496,1.515,-11.597,-335.510,73.059
-1.162,0.675,2.285,-39.551,-378.601,64.026
-1.533,0.857,3.514,-108.093,-417.847,65.002
-1.698,1.646,4.000,-151.611,-425.964,80.200
-1.570,2.098,4.000,-114.197,-348.877,65.247
-1.408,1.547,4.000,-41.504,-132.141,15.869
-1.140,1.209,3.918,22.766,115.479,-20.081
-0.733,1.101,2.458,48.157,231.628,-28.625
-0.331,0.646,1.576,48.828,256.897,-35.461
0.094,0.378,0.973,41.870,252.502,-36.865
0.407,0.288,0.494,24.414,243.713,-34.241
0.681,0.171,0.038,6.836,234.192,-36.926
0.792,0.020,-0.330,4.089,208.252,-41.992
0.772,0.113,-0.557,6.836,158.813,-40.039
0.645,0.180,-0.438,0.122,85.999,-39.063
0.550,-0.002,-0.019,16.785,7.202,-45.288
0.385,0.129,0.681,25.085,-62.500,-39.490
0.263,0.244,1.495,7.202,-101.257,-40.527
0.177,0.100,2.197,-5.615,-103.088,-45.105
0.069,0.272,2.633,-17.090,-63.232,-36.316
0.028,0.462,2.636,-10.864,10.925,-33.203
-0.010,0.324,2.168,13.489,90.576,-42.175
-0.025,0.234,1.586,40.771,142.761,-42.114
0.042,0.251,1.169,28.992,163.452,-36.560
0.096,0.216,0.916,18.433,160.889,-35.706
0.168,0.209,0.793,17.151,147.522,-36.133
0.229,0.201,0.731,18.555,132.446,-36.926
0.277,0.177,0.715,20.996,120.850,-39.063
0.302,0.220,0.718,18.677,113.708,-40.955
0.327,0.197,0.734,15.259,113.220,-45.471
0.333,0.143,0.714,12.573,117.554,-50.171
0.347,0.169,0.692,7.385,123.840,-51.697
0.360,0.187,0.649,5.859,130.554,-54.199
