aX,aY,aZ,gX,gY,gZ
1.055,-0.049,0.161,35.278,-42.847,11.536
,,,,,
0.640,0.692,2.144,-14.099,-206.055,178.955
0.696,1.022,2.454,-79.163,-161.133,188.904
0.742,1.529,2.547,-154.724,-98.022,195.618
0.897,2.085,2.508,-223.267,-27.222,189.392
0.991,2.665,2.248,-251.343,31.128,162.476
1.122,3.041,2.136,-229.858,78.308,112.549
1.201,3.109,1.977,-187.988,113.708,51.086
1.159,2.997,1.685,-144.226,132.507,-12.939
0.954,2.571,1.520,-91.370,135.010,-80.750
0.836,2.006,1.418,-43.091,134.277,-144.470
0.781,1.515,1.401,-15.137,130.310,-194.153
0.615,1.096,1.260,-2.930,129.028,-231.140
0.402,0.570,1.093,0.793,135.803,-259.094
0.323,0.101,1.061,-1.282,148.804,-270.569
0.192,-0.245,0.873,-22.644,170.288,-266.479
-0.042,-0.678,0.525,-62.500,196.045,-252.258
-0.119,-1.276,0.212,-109.009,221.436,-230.286
0.020,-1.521,0.017,-151.428,241.455,-195.129
0.027,-1.545,-0.410,-189.270,255.981,-152.405
-0.010,-1.617,-0.750,-207.092,264.160,-116.760
-0.268,-1.634,-1.403,-180.542,268.250,-87.891
-0.096,-2.151,-2.033,-147.766,250.061,-83.740
0.163,-2.299,-2.400,-68.420,210.205,-85.083
0.255,-2.512,-2.112,-22.156,143.250,-61.768
0.222,-2.414,-2.093,15.137,91.248,-29.175
0.206,-2.426,-2.157,51.086,53.284,-2.930
0.145,-2.262,-2.265,71.594,5.981,27.039
0.127,-2.125,-2.110,87.219,-49.622,58.105
0.211,-1.850,-1.773,101.379,-100.830,84.534
0.130,-1.482,-1.568,110.046,-142.761,104.980
0.073,-1.237,-1.434,127.991,-175.598,113.098
0.026,-1.059,-1.156,148.315,-206.848,116.760
-0.003,-0.877,-0.824,172.302,-236.328,119.690
-0.015,-0.676,-0.446,197.754,-260.437,120.483
0.008,-0.501,-0.064,214.600,-276.917,121.460
0.127,-0.221,0.371,222.900,-290.710,123.779
0.302,0.043,1.016,222.778,-314.148,126.526
0.474,0.156,1.874,210.083,-334.961,129.211
0.603,0.311,2.545,168.701,-329.590,137.512
0.733,0.481,3.000,76.111,-295.959,154.602
0.829,0.789,3.532,-48.279,-244.873,178.284
0.611,1.540,3.202,-160.950,-160.828,205.444
0.698,2.454,3.166,-216.064,-70.435,208.069
0.907,3.328,2.722,-223.083,15.625,178.467
1.154,3.679,2.496,-204.773,85.815,120.361
1.321,3.644,2.197,-148.499,125.000,46.082
1.312,3.149,1.963,-80.017,140.564,-33.936
1.246,2.482,1.595,-25.269,147.339,-105.591
1.040,1.896,1.390,16.968,149.902,-167.114
0.708,1.332,1.283,42.664,150.391,-211.914
0.515,0.788,1.083,40.100,153.687,-239.136
0.393,0.312,0.854,28.564,158.630,-256.104
0.237,-0.077,0.686,12.634,165.588,-262.390
0.073,-0.444,0.464,-24.963,181.274,-254.028
0.008,-0.973,0.202,-78.918,200.745,-232.300
0.005,-1.382,-0.133,-127.686,213.562,-202.942
-0.002,-1.432,-0.454,-165.955,219.666,-164.368
0.216,-1.741,-0.755,-187.439,220.825,-129.150
-0.099,-1.696,-1.121,-191.589,219.788,-87.708
-0.062,-1.971,-1.562,-205.688,200.500,-55.542
