aX,aY,aZ,gX,gY,gZ
1.976,1.975,0.469,1.709,-41.931,-4.517
2.172,2.651,0.399,10.742,-46.448,-10.193
2.259,3.271,0.366,10.864,-52.490,-23.926
2.512,3.372,0.437,12.390,-62.744,-56.152
2.641,3.216,0.677,-23.132,-75.134,-81.787
2.694,3.286,1.108,-128.479,-84.106,-91.492
2.704,3.865,1.332,-237.671,-76.782,-121.094
2.717,4.000,1.393,-297.913,-56.702,-171.753
2.093,4.000,1.042,-408.020,-52.307,-239.075
1.148,4.000,0.585,-334.290,-35.095,-337.891
0.022,3.976,0.142,-281.433,-45.410,-436.340
-1.293,2.461,-0.062,-196.350,-79.102,-517.273
-2.404,0.327,0.099,-104.004,-116.638,-560.364
-3.639,-1.074,0.830,-20.996,-177.612,-549.255
-4.000,-1.918,1.484,-69.641,-225.769,-503.601
-4.000,-0.507,2.204,-385.437,-195.068,-423.157
-4.000,0.386,2.187,-525.391,-119.873,-404.663
-4.000,-2.470,3.833,-341.370,-139.465,-509.949
-4.000,-4.000,4.000,-91.980,-242.920,-560.242
-3.532,-4.000,4.000,100.891,-267.395,-410.522
-0.693,-4.000,3.951,216.980,-131.592,-159.180
-1.817,-4.000,2.769,215.698,78.430,68.176
-3.098,-3.137,1.104,68.359,220.764,239.502
-2.975,-2.047,0.562,94.971,229.858,325.684
-2.473,-2.337,0.146,97.046,199.097,366.882
-2.571,-3.099,0.490,112.671,125.427,361.328
-2.834,-1.446,0.839,32.227,55.176,392.212
-2.744,0.343,1.021,-91.125,51.758,408.569
-2.537,0.516,0.826,-16.968,76.416,365.234
-2.300,-0.396,0.663,80.627,95.032,323.242
-1.791,-0.102,0.232,177.185,96.680,320.740
-0.933,0.819,-0.009,131.348,92.346,340.698
-0.647,0.894,0.008,6.348,90.637,331.848
-0.610,0.317,0.203,3.418,70.068,299.500
-0.324,0.234,0.505,26.489,31.067,280.823
0.059,0.515,0.979,11.353,9.033,267.151
0.442,0.800,1.181,13.977,13.184,250.000
0.661,0.614,1.145,24.109,38.757,231.140
0.725,0.396,0.883,60.364,65.674,215.759
0.766,0.435,0.493,98.206,77.087,209.045
0.782,0.660,0.234,90.881,72.632,209.961
0.724,0.855,0.202,68.115,50.598,208.069
0.605,1.258,0.455,47.852,24.353,201.111
0.601,2.024,0.674,38.025,14.587,185.669
0.635,2.712,0.778,40.527,19.348,156.738
0.720,2.713,0.898,80.505,29.724,110.840
0.915,2.044,0.937,137.207,44.067,61.890
1.001,1.557,0.970,175.598,58.716,38.269
1.059,1.514,0.905,179.443,77.515,39.368
1.227,1.652,0.743,149.109,96.069,39.612
1.344,1.745,0.499,143.372,105.164,28.076
1.299,1.661,0.249,146.362,105.408,7.324
1.202,1.423,0.105,137.024,94.421,-12.024
1.079,1.074,0.119,135.254,72.693,-25.330
0.979,0.729,0.368,131.714,48.828,-26.367
0.930,0.411,0.719,126.099,33.936,-17.090
1.009,0.364,0.905,117.981,37.598,-2.380
1.178,0.365,0.844,104.614,59.814,-1.282
1.173,0.047,0.471,111.328,79.895,-33.630
0.745,-0.517,0.186,99.487,80.139,-78.369
0.684,-0.663,0.127,28.015,56.580,-89.355
0.984,-0.255,0.166,-40.344,30.762,-67.505
1.183,-0.184,0.327,-67.383,11.780,-44.800
1.081,-0.099,0.388,-76.294,0.488,-31.006
1.010,0.053,0.400,-52.246,-4.272,-29.175
0.911,-0.253,0.357,-20.752,-9.644,-38.391
0.808,-0.419,0.377,-42.725,-16.418,-31.921
0.860,-0.350,0.459,-51.758,-21.606,-22.034
0.868,-0.212,0.576,-40.649,-26.978,-19.348
0.789,-0.318,0.771,-22.583,-22.827,-22.949
0.836,-0.438,0.750,-3.967,-13.672,-17.090
0.854,-0.375,0.703,2.991,-1.892,-7.629
0.831,-0.310,0.541,14.771,5.920,-3.174
0.843,-0.349,0.451,19.714,4.883,-1.526
0.879,-0.336,0.449,13.184,-2.197,2.686
0.879,-0.339,0.548,17.700,-11.292,5.920
0.866,-0.351,0.690,16.724,-14.404,8.545
0.852,-0.213,0.743,14.709,-8.667,13.245
0.833,-0.065,0.659,23.987,1.953,15.259
0.799,-0.114,0.504,34.790,9.705,12.451
0.774,-0.210,0.397,37.659,9.399,11.292
0.786,-0.179,0.396,28.503,2.258,13.428
0.807,-0.157,0.502,17.639,-6.470,14.465
0.820,-0.213,0.625,13.306,-10.864,11.292
0.820,-0.216,0.687,13.062,-9.277,7.812
0.802,-0.164,0.657,13.977,-2.991,4.395
0.801,-0.192,0.545,16.968,3.662,-0.610
0.791,-0.242,0.449,19.531,4.700,-3.784
0.762,-0.239,0.411,13.489,0.732,-4.089
0.757,-0.248,0.455,10.010,-4.150,-4.822
0.757,-0.292,0.532,4.883,-8.179,-4.944
0.739,-0.359,0.618,1.343,-8.606,-4.089
0.726,-0.434,0.656,-3.174,-4.211,-2.075
0.763,-0.310,0.634,-14.771,3.296,3.662
0.797,-0.114,0.545,-21.179,8.972,6.958
0.778,-0.094,0.451,-16.602,9.644,2.930
0.761,-0.163,0.403,-8.789,6.165,-2.197
0.766,-0.167,0.436,-6.653,0.244,-3.540
0.777,-0.180,0.527,-5.859,-5.432,-3.662
0.783,-0.243,0.616,-0.427,-7.324,-4.517
0.776,-0.279,0.651,6.592,-4.272,-5.066
0.768,-0.274,0.620,12.573,1.282,-4.333
0.773,-0.265,0.546,18.372,6.653,-3.662
0.829,-0.254,0.454,22.156,8.911,-3.296
0.670,-0.268,0.470,21.851,5.188,-4.150
0.897,-0.303,0.441,18.372,1.953,-1.831
0.781,-0.196,0.591,15.808,0.427,0.977
0.846,-0.252,0.552,21.667,0.977,-0.793
0.811,-0.199,0.613,18.066,4.272,0.916
0.798,-0.246,0.556,32.043,3.540,-0.427
0.814,-0.252,0.560,35.645,6.470,2.075
0.803,-0.253,0.512,30.212,11.963,4.517
0.791,-0.273,0.459,20.447,12.146,2.014
0.782,-0.354,0.427,5.249,9.888,-4.333
0.755,-0.385,0.433,-12.817,3.113,-7.751
0.771,-0.372,0.492,-31.494,-2.869,-7.263
0.797,-0.341,0.546,-42.297,-5.737,-4.395
0.815,-0.319,0.584,-43.518,-4.944,-1.709
,,,,,
1.091,1.124,0.869,-13.855,-2.808,-18.372
1.251,1.611,0.788,-21.667,0.916,-25.085
1.513,2.212,0.690,-33.691,1.831,-33.264
1.872,3.015,0.603,-45.166,2.136,-41.626
2.252,3.989,0.614,-39.551,-5.859,-55.664
2.658,4.000,0.966,-14.954,-30.701,-89.478
2.715,3.814,1.587,1.892,-49.377,-133.972
2.366,3.051,2.092,-19.592,-39.795,-174.744
2.000,3.050,2.176,-98.450,12.024,-204.468
1.377,3.155,1.623,-179.749,82.031,-251.526
0.835,2.750,0.923,-233.459,135.803,-316.406
0.217,2.094,0.278,-291.748,146.973,-374.146
-0.533,1.539,-0.092,-300.171,123.413,-419.189
-1.403,1.073,-0.140,-303.101,77.209,-448.425
-2.352,0.472,0.107,-257.690,8.362,-469.116
-3.335,-0.322,0.286,-183.411,-59.021,-491.638
-4.000,-0.817,0.035,-280.212,-82.947,-497.986
-4.000,-1.583,0.237,-514.343,-98.450,-472.900
-4.000,-4.000,2.636,-352.966,-195.496,-451.965
-4.000,-4.000,4.000,290.283,-356.079,-437.317
-3.155,-4.000,4.000,380.920,-311.951,-259.155
-1.318,-4.000,4.000,161.316,-19.958,-42.786
-1.527,-4.000,2.275,79.041,181.091,99.854
-2.227,-3.743,0.323,89.661,243.958,187.561
-2.360,-1.579,0.121,32.349,207.336,243.469
-1.872,-1.043,-0.167,43.396,127.930,236.633
-1.398,-1.797,0.187,122.253,58.594,219.727
-1.248,-1.845,0.497,138.977,18.677,240.356
-1.225,-1.145,0.939,85.632,4.028,280.762
-1.046,-0.323,0.743,60.120,26.001,299.988
-0.847,0.877,0.355,2.869,64.514,293.762
-0.732,0.807,0.019,-52.246,93.445,257.446
-0.602,-0.158,-0.299,10.864,85.938,211.670
-0.385,-0.763,-0.367,63.171,52.368,208.008
-0.083,-0.553,-0.130,72.693,-1.770,229.248
0.221,0.084,0.201,71.899,-48.645,249.634
0.367,0.047,0.717,35.034,-70.740,242.432
0.469,-0.280,1.052,13.672,-74.524,223.694
0.611,-0.151,1.179,15.686,-56.580,213.074
0.755,0.256,0.928,14.954,-21.179,203.247
0.794,0.337,0.520,23.376,7.263,188.232
0.865,0.262,0.143,21.118,18.433,176.575
